"V1","V5","V6","V7","V8"
2.231,673,674.3438,158567.8,528.1671
2.232,673,674.3477,158584,528.2074
2.233,673,674.3517,158600.3,528.2478
2.234,673,674.3556,158616.5,528.2883
2.235,673,674.3596,158632.8,528.3287
2.236,673,674.3636,158649.1,528.3693
2.237,673,674.3676,158665.5,528.4098
2.238,673,674.3716,158681.8,528.4504
2.239,673,674.3755,158698.2,528.491
2.24,673,674.3795,158714.6,528.5317
2.241,673,674.3835,158731,528.5724
2.242,673,674.3875,158747.4,528.6132
2.243,673,674.3915,158763.9,528.654
2.244,673,674.3956,158780.4,528.6949
2.245,673,674.3996,158796.9,528.7358
2.246,673,674.4036,158813.4,528.7768
2.247,673,674.4076,158829.9,528.8178
2.248,673,674.4117,158846.5,528.8589
2.249,673,674.4157,158863.1,528.9001
2.25,673,674.4198,158879.8,528.9413
2.251,673,674.4238,158896.4,528.9825
2.252,673,674.4279,158913.1,529.0239
2.253,673,674.432,158929.8,529.0653
2.254,673,674.436,158946.6,529.1067
2.255,673,674.4401,158963.4,529.1482
2.256,673,674.4442,158980.2,529.1898
2.257,673,674.4483,158997,529.2315
2.258,673,674.4524,159013.9,529.2732
2.259,673,674.4565,159030.8,529.315
2.26,673,674.4606,159047.7,529.3569
2.261,673,674.4648,159064.7,529.3988
2.262,673,674.4689,159081.7,529.4408
2.263,673,674.473,159098.7,529.4829
2.264,673,674.4772,159115.8,529.525
2.265,673,674.4813,159132.9,529.5673
2.266,673,674.4855,159150,529.6096
2.267,673,674.4897,159167.2,529.652
2.268,673,674.4939,159184.4,529.6944
2.269,673,674.498,159201.6,529.737
2.27,673,674.5022,159218.9,529.7796
2.271,673,674.5064,159236.2,529.8223
2.272,673,674.5107,159253.6,529.8651
2.273,673,674.5149,159271,529.908
2.274,673,674.5191,159288.4,529.9509
2.275,673,674.5234,159305.8,529.9939
2.276,673,674.5276,159323.3,530.0371
2.277,673,674.5319,159340.9,530.0803
2.278,673,674.5361,159358.5,530.1236
2.279,673,674.5404,159376.1,530.167
2.28,673,674.5447,159393.7,530.2104
2.281,673,674.549,159411.4,530.254
2.282,673,674.5533,159429.2,530.2976
2.283,673,674.5576,159446.9,530.3414
2.284,673,674.5619,159464.8,530.3852
2.285,673,674.5663,159482.6,530.4291
2.286,673,674.5706,159500.5,530.4731
2.287,673,674.575,159518.5,530.5172
2.288,673,674.5793,159536.4,530.5614
2.289,673,674.5837,159554.5,530.6057
2.29,673,674.5881,159572.5,530.6501
2.291,673,674.5925,159590.6,530.6946
2.292,673,674.5969,159608.8,530.7391
2.293,673,674.6013,159627,530.7838
2.294,673,674.6057,159645.2,530.8286
2.295,673,674.6101,159663.5,530.8734
2.296,673,674.6146,159681.8,530.9184
2.297,673,674.619,159700.2,530.9634
2.298,673,674.6235,159718.6,531.0085
2.299,673,674.6279,159737,531.0537
2.3,673,674.6324,159755.5,531.099
2.301,673,674.6369,159774,531.1444
2.302,673,674.6414,159792.6,531.1899
2.303,673,674.6459,159811.2,531.2355
2.304,673,674.6504,159829.9,531.2812
2.305,673,674.6549,159848.6,531.3269
2.306,673,674.6595,159867.3,531.3728
2.307,673,674.664,159886.1,531.4188
2.308,673,674.6686,159904.9,531.4649
2.309,673,674.6731,159923.8,531.511
2.31,673,674.6777,159942.7,531.5573
2.311,673,674.6823,159961.7,531.6037
2.312,673,674.6869,159980.7,531.6502
2.313,673,674.6915,159999.7,531.6967
2.314,673,674.6961,160018.8,531.7434
2.315,673,674.7008,160038,531.7902
2.316,673,674.7054,160057.2,531.8371
2.317,673,674.7101,160076.4,531.884
2.318,673,674.7147,160095.7,531.9311
2.319,673,674.7194,160115,531.9783
2.32,673,674.7241,160134.4,532.0255
2.321,673,674.7288,160153.8,532.0729
2.322,673,674.7335,160173.3,532.1203
2.323,673,674.7382,160192.8,532.1679
2.324,673,674.7429,160212.3,532.2156
2.325,673,674.7476,160231.9,532.2633
2.326,673,674.7524,160251.6,532.3112
2.327,673,674.7571,160271.2,532.3591
2.328,673,674.7619,160291,532.4071
2.329,673,674.7667,160310.7,532.4553
2.33,673,674.7715,160330.5,532.5035
2.331,673,674.7763,160350.4,532.5519
2.332,673,674.7811,160370.3,532.6003
2.333,673,674.7859,160390.3,532.6488
2.334,673,674.7907,160410.3,532.6975
2.335,673,674.7955,160430.3,532.7462
2.336,673,674.8004,160450.4,532.7951
2.337,673,674.8052,160470.5,532.844
2.338,673,674.8101,160490.7,532.893
2.339,673,674.815,160510.9,532.9422
2.34,673,674.8199,160531.2,532.9914
2.341,673,674.8248,160551.5,533.0407
2.342,673,674.8297,160571.9,533.0901
2.343,673,674.8346,160592.3,533.1397
2.344,673,674.8395,160612.8,533.1893
2.345,673,674.8445,160633.3,533.239
